aX,aY,aZ,gX,gY,gZ
0.942,-0.295,-0.099,6.958,-3.174,13.794
0.942,-0.344,-0.067,7.019,-2.747,4.944
0.937,-0.428,-0.052,5.005,-0.427,-3.235
0.930,-0.560,-0.020,2.747,1.038,-8.911
0.922,-0.650,0.015,-3.113,3.479,-10.315
0.920,-0.657,0.039,-2.563,6.775,-7.507
0.898,-0.738,0.047,2.258,9.583,-6.104
0.868,-0.746,0.020,6.409,13.367,-2.808
0.848,-0.664,-0.057,10.010,17.456,4.456
0.823,-0.626,-0.092,10.498,17.212,9.155
0.797,-0.597,-0.125,8.118,15.503,12.390
0.778,-0.542,-0.173,6.531,14.160,15.625
0.773,-0.516,-0.162,4.883,9.888,16.724
0.772,-0.501,-0.093,1.953,4.211,16.174
0.769,-0.478,-0.088,1.221,3.723,14.954
0.767,-0.450,-0.119,2.930,5.249,12.268
0.770,-0.504,-0.094,4.822,2.930,7.507
0.773,-0.567,-0.045,5.188,0.000,4.333
0.774,-0.573,-0.048,4.883,0.305,5.554
0.782,-0.546,-0.065,1.831,0.916,8.057
0.801,-0.549,-0.026,-0.610,-1.587,8.911
0.811,-0.569,-0.000,-1.709,-3.662,8.850
0.820,-0.531,-0.008,-3.235,-3.113,11.353
0.822,-0.501,-0.024,-6.836,-2.808,12.756
0.826,-0.478,-0.018,-6.409,-3.601,12.756
0.827,-0.472,-0.011,-2.991,-4.272,11.414
0.820,-0.467,-0.020,0.671,-3.540,9.460
0.820,-0.456,-0.067,4.822,-1.648,7.996
0.824,-0.504,-0.054,8.362,-2.747,5.859
0.837,-0.518,-0.014,10.132,-4.883,5.676
0.843,-0.519,-0.005,9.705,-4.578,7.568
0.857,-0.573,-0.008,11.169,-3.906,7.996
0.862,-0.596,0.019,9.888,-4.944,10.132
0.869,-0.574,0.017,6.531,-3.906,13.611
0.865,-0.557,-0.002,6.409,-2.380,15.991
0.862,-0.561,-0.007,7.202,-1.953,17.395
0.865,-0.547,0.004,8.667,-2.319,20.325
0.866,-0.493,-0.008,11.719,-1.282,23.071
0.869,-0.415,-0.032,17.090,-0.610,23.743
0.872,-0.395,-0.042,22.400,-1.648,20.508
0.876,-0.384,-0.006,26.123,-3.906,16.235
0.879,-0.400,-0.021,27.893,-3.357,12.756
0.882,-0.425,-0.041,25.024,-2.319,10.315
0.890,-0.434,-0.019,22.034,-3.906,9.766
0.894,-0.468,0.005,21.484,-5.737,9.460
0.900,-0.502,0.017,21.484,-6.165,10.437
0.912,-0.519,0.043,16.968,-5.920,13.000
0.927,-0.526,0.082,10.864,-5.493,15.564
0.932,-0.503,0.103,8.179,-4.028,17.944
0.935,-0.490,0.096,3.357,-0.549,19.226
0.936,-0.480,0.082,-0.122,2.747,19.775
0.932,-0.442,0.076,0.732,4.883,20.569

0.943,-0.780,-1.478,73.792,70.496,-83.496
0.950,-1.027,-1.743,77.820,66.101,-91.858
0.947,-1.188,-1.762,66.772,46.997,-87.585
0.965,-1.028,-1.767,53.467,35.461,-70.068
0.981,-0.752,-1.943,47.058,36.804,-55.908
0.995,-0.584,-2.114,42.236,38.452,-58.289
0.979,-0.575,-2.309,49.133,37.231,-70.801
0.923,-0.604,-2.446,61.829,32.898,-84.290
0.849,-0.664,-2.546,70.068,23.560,-94.055
0.751,-0.781,-2.630,76.721,10.315,-100.281
0.606,-0.909,-2.663,75.195,-8.484,-99.182
0.383,-0.996,-2.661,66.528,-31.311,-89.844
0.229,-1.059,-2.641,60.913,-60.547,-71.716
