aX,aY,aZ,gX,gY,gZ
-0.209,-0.975,-0.357,-4.272,6.836,1.587
-0.200,-0.934,-0.369,-3.540,6.592,3.723
-0.195,-0.919,-0.362,0.061,4.456,3.357
-0.194,-0.934,-0.340,1.709,2.563,1.343
-0.193,-0.948,-0.337,1.648,2.869,0.488
-0.190,-0.954,-0.335,-0.061,3.723,0.488
-0.190,-0.941,-0.328,-1.587,4.211,1.099
-0.189,-0.930,-0.333,-4.211,4.822,1.221
-0.188,-0.927,-0.330,-7.874,5.249,0.183
-0.187,-0.928,-0.328,-8.484,4.578,-0.977
-0.194,-0.960,-0.322,-7.141,3.784,-2.747
-0.199,-0.991,-0.296,-7.019,3.174,-3.723
-0.203,-1.001,-0.302,-6.226,4.150,-3.479
-0.208,-1.017,-0.321,-3.906,5.066,-3.174
-0.210,-1.041,-0.306,-2.747,3.784,-2.258
-0.209,-1.044,-0.280,-4.822,3.052,-0.427

-1.139,-1.899,-0.040,32.166,7.996,67.139
-1.200,-2.111,-0.242,35.400,12.695,90.515
-1.259,-2.182,-0.283,54.260,2.502,123.962
-1.283,-2.173,-0.182,82.031,-11.047,159.302
-1.315,-2.071,-0.151,120.911,-18.433,191.895
-1.325,-1.832,-0.242,140.137,-19.897,225.220
-1.328,-1.562,-0.358,140.991,-23.621,252.441
-1.320,-1.403,-0.493,141.418,-33.508,270.081
-1.278,-1.245,-0.515,136.292,-52.368,283.813
-1.243,-1.168,-0.407,105.469,-73.975,296.204
-1.207,-1.232,-0.189,83.557,-90.027,306.641
-1.139,-1.213,0.042,89.111,-103.088,324.036
-1.048,-0.974,0.150,86.426,-109.619,349.976
-0.939,-0.640,-0.025,90.393,-104.309,371.948
-0.823,-0.338,-0.341,96.741,-100.952,382.141
-0.707,-0.133,-0.606,101.685,-112.671,380.554
-0.608,0.023,-0.686,117.004,-140.503,373.230
-0.526,0.090,-0.640,121.704,-171.265,362.183
-0.501,0.021,-0.520,111.084,-192.749,350.281
-0.505,-0.141,-0.410,103.821,-203.674,345.093
-0.532,-0.270,-0.233,97.168,-213.196,353.394
-0.578,-0.350,0.027,76.294,-220.703,372.375
-0.632,-0.437,0.242,29.541,-215.942,396.362
-0.697,-0.468,0.323,-13.428,-201.477,423.645
-0.749,-0.267,0.351,-29.602,-190.369,455.383
-0.770,0.051,0.423,-15.442,-192.566,482.727
-0.724,0.359,0.750,5.676,-210.327,495.728
-0.676,0.545,1.300,23.621,-228.943,495.117
-0.616,0.928,1.741,46.021,-225.647,489.136
-0.474,1.662,1.772,101.440,-199.036,483.276
-0.217,2.346,1.542,168.030,-173.950,461.487
-0.251,2.773,1.546,207.520,-169.373,408.569
-0.046,2.814,1.781,203.979,-178.223,329.956
0.122,2.478,1.922,185.791,-164.246,241.882
0.278,1.968,1.858,176.758,-137.512,169.678
0.321,1.466,1.773,189.514,-119.934,124.329
0.364,1.097,1.776,197.876,-116.821,107.300
0.413,0.942,1.785,203.186,-112.671,112.793
0.465,1.065,1.676,201.599,-99.670,132.324
0.520,1.289,1.356,191.345,-79.712,151.978
